"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Qatar","Middle East & North Africa",2002,634388,19363736264,2.71181463,11610,11.5,30523.4907722088,52510863292.1767
"Romania","Europe & Central Asia",2002,21730496,46174557556,4.57232682,229870,24.9,2124.87361337726,211125167914.932
"Russian Federation","Europe & Central Asia",2002,145306046,3.45e+11,5.98934673,16380940,20.7,2374.29900198372,2066324621850
"Rwanda","Sub-Saharan Africa",2002,8539029,1677447003,4.17579115,24670,154.7,196.444701499433,7004668349.72142
"Samoa","East Asia & Pacific",2002,176592,288078881.4,5.01272806,2830,20.4,1631.32464324545,1444061092.28719
"San Marino","Europe & Central Asia",2002,28142,879957209.9,4.67493655,60,4.9,31268.4674116978,4113744122.99753
"Sao Tome and Principe","Sub-Saharan Africa",2002,143085,80531992.12,10.2099232,960,81.5,562.826236991998,822225454.688205
"Saudi Arabia","Middle East & North Africa",2002,22668102,1.89e+11,4.28214226,2149690,21.3,8337.70732106288,809324887140
"Senegal","Sub-Saharan Africa",2002,10389457,5333862371,5.06418774,192530,120.7,513.391832797421,27011680426.0655
"Serbia","Europe & Central Asia",2002,7496522,16116843146,8.09016738,87460,11.6,2149.909404121,130387958688.346
"Seychelles","Sub-Saharan Africa",2002,83700,697518248.2,4.20887554,460,14.3,8333.55135244922,2935767493.55263
"Sierra Leone","Sub-Saharan Africa",2002,4422154,1239004288,11.96043347,72180,223.9,280.181171438172,14819028355.6687
"Singapore","East Asia & Pacific",2002,4175950,91941192896,2.84341036,675,3.4,22016.8327915804,261426540391.245
"Sint Maarten (Dutch part)","Latin America & Caribbean",2002,32566,NA,NA,34,NA,NA,NA
"Slovak Republic","Europe & Central Asia",2002,5376912,35083608131,5.62930119,48100,10.9,6524.86187815609,197496197001.332
"Slovenia","Europe & Central Asia",2002,1994530,23563581047,8.62002958,20140,5,11814.1020927236,203118765635.867
"Solomon Islands","East Asia & Pacific",2002,434893,341663056,6.09018055,27990,32.8,785.625558470704,2080789698.30476
"Somalia","Sub-Saharan Africa",2002,7827203,NA,NA,627340,174.4,NA,NA
"South Africa","Sub-Saharan Africa",2002,45448096.07,1.15e+11,8.08571189,1213090,78.1,2530.3590236844,929856867350
"South Sudan","Sub-Saharan Africa",2002,7233237,NA,NA,NA,163.8,NA,NA
"Spain","Europe & Central Asia",2002,41431558,7.05e+11,7.25041069,499040,6.2,17016.0147006782,5111539536450
"Sri Lanka","South Asia",2002,18939000,16536535647,3.88774826,62710,15.4,873.147243624267,64289887688.0522
"St. Kitts and Nevis","Latin America & Caribbean",2002,46935,480825603.4,4.85158469,260,17.1,10244.4999126451,2332766136.01545
"St. Lucia","Latin America & Caribbean",2002,160218,746048893.3,6.32567716,610,17.4,4656.46115480158,4719264444.59109
"St. Martin (French part)","Latin America & Caribbean",2002,27450,NA,NA,54.4,NA,NA,NA
"St. Vincent and the Grenadines","Latin America & Caribbean",2002,108150,461883444.4,3.93148728,390,22,4270.76693851133,1815888886.50119
"Sudan","Sub-Saharan Africa",2002,29569978,14803189093,2.94690725,2376000,100.2,500.615492273954,43623625261.2826
"Suriname","Latin America & Caribbean",2002,486271,1078402128,7.1421666,156000,32.1,2217.6978022543,7702127659.97052
"Swaziland","Sub-Saharan Africa",2002,1082195,1224226095,5.15565081,17200,133.1,1131.24353281987,6311682258.30989
"Sweden","Europe & Central Asia",2002,8924958,2.64e+11,9.22815647,410340,4,29579.9711326373,2436233308080
"Switzerland","Europe & Central Asia",2002,7284753,3.01e+11,10.60657136,39522,5.5,41319.1771910455,3192577979360
